dataset,split,model_nickname,hf_model_id,embedding_type,method,layer_name,layer_idx,pooling,r,seed,fit_size,eval_size,metric_name,metric_value,notes,std_if_available
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,LayerSelect_second_last_mean_NCWP,second_last,27,mean,112,"[0, 1, 2]",2910,1379,spearman_x100,57.848,ncwp_ref (second_last),0.421
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,LayerSelect_second_last_mean_NCWP,second_last,27,mean,224,"[0, 1, 2]",2910,1379,spearman_x100,59.5706,ncwp_ref (second_last),0.472
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,LayerSelect_second_last_mean_NCWP,second_last,27,mean,448,"[0, 1, 2]",2910,1379,spearman_x100,60.498,ncwp_ref (second_last),0.2459
stsb,test,qwen-8b,Qwen/Qwen2-7B,last_pool,LayerSelect_second_last_last_NCWP,second_last,27,last,56,"[0, 1, 2]",2910,1379,spearman_x100,54.8685,ncwp_ref (best_base),0.9211
stsb,test,qwen-8b,Qwen/Qwen2-7B,last_pool,LayerSelect_second_last_last_NCWP,second_last,27,last,112,"[0, 1, 2]",2910,1379,spearman_x100,59.108,ncwp_ref (best_base),0.3308
stsb,test,qwen-8b,Qwen/Qwen2-7B,last_pool,LayerSelect_second_last_last_NCWP,second_last,27,last,224,"[0, 1, 2]",2910,1379,spearman_x100,59.6685,ncwp_ref (best_base),0.4683
stsb,test,qwen-8b,Qwen/Qwen2-7B,last_pool,LayerSelect_second_last_last_NCWP,second_last,27,last,448,"[0, 1, 2]",2910,1379,spearman_x100,60.855,ncwp_ref (best_base),0.4416
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,LayerSelect_last_mean_Base,last,32,mean,4096,"[0, 1, 2]",2910,1379,spearman_x100,45.9235,,
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,last_pool,LayerSelect_last_last_Base,last,32,last,4096,"[0, 1, 2]",2910,1379,spearman_x100,39.4098,,
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,LayerSelect_second_last_mean_Base,second_last,31,mean,4096,"[0, 1, 2]",2910,1379,spearman_x100,35.1232,,
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,last_pool,LayerSelect_second_last_last_Base,second_last,31,last,4096,"[0, 1, 2]",2910,1379,spearman_x100,42.8524,,
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,LayerSelect_middle_mean_Base,middle,16,mean,4096,"[0, 1, 2]",2910,1379,spearman_x100,20.4377,,
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,last_pool,LayerSelect_middle_last_Base,middle,16,last,4096,"[0, 1, 2]",2910,1379,spearman_x100,37.5448,,
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,LayerSelect_early_middle_mean_Base,early_middle,10,mean,4096,"[0, 1, 2]",2910,1379,spearman_x100,17.8816,,
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,last_pool,LayerSelect_early_middle_last_Base,early_middle,10,last,4096,"[0, 1, 2]",2910,1379,spearman_x100,37.7354,,
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,LayerSelect_last_mean_NCWP,last,32,mean,32,"[0, 1, 2]",2910,1379,spearman_x100,55.4826,ncwp_ref (reference),0.9156
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,LayerSelect_last_mean_NCWP,last,32,mean,64,"[0, 1, 2]",2910,1379,spearman_x100,59.0979,ncwp_ref (reference),0.573
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,LayerSelect_last_mean_NCWP,last,32,mean,128,"[0, 1, 2]",2910,1379,spearman_x100,61.2887,ncwp_ref (reference),0.0139
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,LayerSelect_last_mean_NCWP,last,32,mean,256,"[0, 1, 2]",2910,1379,spearman_x100,61.943,ncwp_ref (reference),0.1356
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,LayerSelect_second_last_mean_NCWP,second_last,31,mean,32,"[0, 1, 2]",2910,1379,spearman_x100,56.5591,ncwp_ref (second_last),0.8387
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,LayerSelect_second_last_mean_NCWP,second_last,31,mean,64,"[0, 1, 2]",2910,1379,spearman_x100,60.5774,ncwp_ref (second_last),1.025
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,LayerSelect_second_last_mean_NCWP,second_last,31,mean,128,"[0, 1, 2]",2910,1379,spearman_x100,61.1201,ncwp_ref (second_last),0.5031
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,LayerSelect_second_last_mean_NCWP,second_last,31,mean,256,"[0, 1, 2]",2910,1379,spearman_x100,63.3641,ncwp_ref (second_last),0.3721
